epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,3127.95,1.74183,2.89098,1.33065,1.07794,0,0.27965,0.16399,0.14731,0.07957,0.25299,0.17958,0.15639,0.06977,1.91543,3.17144,1.46147,1.04642,0,0.0005348,0.0005348,0.0005348
39,3210.98,1.72063,2.86413,1.31324,1.06898,0,0.28875,0.16129,0.14885,0.07985,0.25832,0.17534,0.15661,0.07061,1.9115,3.12551,1.45878,1.04274,0,0.0004952,0.0004952,0.0004952
40,3294.01,1.71343,2.85126,1.31024,1.06575,0,0.28476,0.16723,0.15025,0.0813,0.25251,0.18268,0.15714,0.07016,1.90911,3.17536,1.44947,1.0447,0,0.0004556,0.0004556,0.0004556
41,3348.6,1.85227,2.97311,1.38875,1.08896,0,0.29025,0.16346,0.15055,0.08068,0.25676,0.17842,0.15713,0.07062,1.90579,3.15431,1.46421,1.03611,0,0.000416,0.000416,0.000416
42,3402.22,1.84538,2.94477,1.38257,1.08468,0,0.2886,0.16336,0.1501,0.08149,0.25491,0.17961,0.15914,0.07143,1.89597,3.09621,1.45843,1.03605,0,0.0003764,0.0003764,0.0003764
43,3454.76,1.82878,2.94656,1.36856,1.08028,0,0.28468,0.16803,0.15226,0.08236,0.25613,0.18383,0.16044,0.07186,1.89794,3.08239,1.44516,1.03061,0,0.0003368,0.0003368,0.0003368
44,3508.37,1.83164,2.92575,1.36737,1.07892,0,0.28795,0.16956,0.15332,0.08286,0.25221,0.18529,0.15913,0.07164,1.88396,3.11769,1.44542,1.02705,0,0.0002972,0.0002972,0.0002972
45,3561.56,1.82606,2.91877,1.36386,1.07365,0,0.28482,0.16974,0.15361,0.08333,0.25866,0.18412,0.16121,0.07332,1.88371,3.12316,1.43844,1.02348,0,0.0002576,0.0002576,0.0002576
46,3614.47,1.8092,2.90731,1.35393,1.06901,0,0.28661,0.17169,0.15546,0.08442,0.25826,0.18654,0.16403,0.07404,1.87453,3.07638,1.4434,1.023,0,0.000218,0.000218,0.000218
47,3668.11,1.80293,2.89232,1.34504,1.06608,0,0.28846,0.17155,0.15633,0.08514,0.25547,0.19013,0.16458,0.07447,1.87244,3.0417,1.43368,1.02136,0,0.0001784,0.0001784,0.0001784
48,3721.77,1.79897,2.88675,1.34484,1.06923,0,0.28914,0.17451,0.15761,0.0858,0.26054,0.18735,0.16489,0.07466,1.85721,3.04011,1.42833,1.01771,0,0.0001388,0.0001388,0.0001388
49,3775,1.78885,2.86491,1.3406,1.05832,0,0.2881,0.17488,0.1585,0.08644,0.25845,0.18886,0.16537,0.07451,1.84948,3.03233,1.42489,1.01659,0,9.92e-05,9.92e-05,9.92e-05
50,3828.35,1.78531,2.85305,1.33741,1.06104,0,0.29257,0.17467,0.15927,0.08703,0.26072,0.19054,0.16685,0.07559,1.8453,3.02419,1.42241,1.01382,0,5.96e-05,5.96e-05,5.96e-05
