epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
43,74.0734,0.99494,1.524,1.37076,1.02801,0,0.81216,0.82838,0.87752,0.68696,0.81216,0.82838,0.88019,0.55146,0.89773,1.40478,1.38797,0.89948,0,0.000649046,0.000649046,0.000649046
44,75.4121,1.06037,1.61035,1.42251,1.04414,0,0.82754,0.86907,0.91236,0.71961,0.79367,0.82907,0.85723,0.5711,0.89709,1.42355,1.20304,0.90148,0,0.000638047,0.000638047,0.000638047
45,76.6874,0.95404,1.39989,1.26287,1.00034,0,0.82754,0.86907,0.91236,0.71961,0.79367,0.82907,0.85723,0.5711,0.89709,1.42355,1.20304,0.90148,0,0.000627048,0.000627048,0.000627048
46,77.949,1.02044,1.52675,1.32642,1.02624,0,0.82754,0.86907,0.91236,0.71961,0.79367,0.82907,0.85723,0.5711,0.89709,1.42355,1.20304,0.90148,0,0.000616049,0.000616049,0.000616049
47,79.356,1.01464,1.49287,1.32606,1.01638,0,0.91493,0.86568,0.94068,0.7388,0.91493,0.86568,0.94868,0.59566,0.92117,1.41382,1.10714,0.91849,0,0.000605051,0.000605051,0.000605051
48,80.639,1.00194,1.50669,1.314,1.02455,0,0.91493,0.86568,0.94068,0.7388,0.91493,0.86568,0.94868,0.59566,0.92117,1.41382,1.10714,0.91849,0,0.000594052,0.000594052,0.000594052
49,81.9913,0.97038,1.41081,1.27098,0.99878,0,0.91568,0.89406,0.94732,0.75554,0.89894,0.94357,0.95532,0.62632,0.88819,1.35447,1.03811,0.90538,0,0.000583053,0.000583053,0.000583053
50,83.3082,0.97945,1.47503,1.205,0.98541,0,0.91568,0.89406,0.94732,0.75554,0.89894,0.94357,0.95532,0.62632,0.88819,1.35447,1.03811,0.90538,0,0.000572054,0.000572054,0.000572054
51,85.3278,0.93903,1.37483,1.32402,0.98947,0,0.91568,0.89406,0.94732,0.75554,0.89894,0.94357,0.95532,0.62632,0.88819,1.35447,1.03811,0.90538,0,0.000561055,0.000561055,0.000561055
52,86.7038,1.12143,1.66372,1.29968,1.05957,0,0.90113,0.95307,0.95531,0.73862,0.94873,0.85887,0.92584,0.61087,0.83244,1.40617,1.00037,0.8867,0,0.000550056,0.000550056,0.000550056
53,87.9364,1.02679,1.49085,1.18246,1.00855,0,0.90113,0.95307,0.95531,0.73862,0.94873,0.85887,0.92584,0.61087,0.83244,1.40617,1.00037,0.8867,0,0.000539057,0.000539057,0.000539057
54,89.1317,0.97798,1.52072,1.17561,0.98405,0,0.90113,0.95307,0.95531,0.73862,0.94873,0.85887,0.92584,0.61087,0.83244,1.40617,1.00037,0.8867,0,0.000528058,0.000528058,0.000528058
55,90.4504,0.95553,1.52183,1.132,0.9833,0,0.90083,0.91306,0.94731,0.755,0.86941,0.88,0.94064,0.60214,0.82421,1.43732,0.97233,0.87213,0,0.000517059,0.000517059,0.000517059
56,91.7154,0.88803,1.40379,1.08375,0.98664,0,0.90083,0.91306,0.94731,0.755,0.86941,0.88,0.94064,0.60214,0.82421,1.43732,0.97233,0.87213,0,0.00050606,0.00050606,0.00050606
57,93.0674,0.96465,1.58087,1.18988,0.99344,0,0.9376,0.90225,0.94731,0.74822,0.9376,0.90225,0.94731,0.60113,0.84075,1.37923,0.92494,0.87329,0,0.000495062,0.000495062,0.000495062
58,94.3014,0.91203,1.42325,1.19646,0.98189,0,0.9376,0.90225,0.94731,0.74822,0.9376,0.90225,0.94731,0.60113,0.84075,1.37923,0.92494,0.87329,0,0.000484063,0.000484063,0.000484063
59,95.637,0.92749,1.38606,1.12803,0.98612,0,0.9376,0.90225,0.94731,0.74822,0.9376,0.90225,0.94731,0.60113,0.84075,1.37923,0.92494,0.87329,0,0.000473064,0.000473064,0.000473064
60,96.9254,0.87825,1.29709,1.09312,0.96415,0,0.94701,0.90944,0.9473,0.73965,0.94701,0.90944,0.9473,0.61995,0.85477,1.3364,0.85384,0.8875,0,0.000462065,0.000462065,0.000462065
61,98.8938,0.91496,1.33244,1.02495,1.00832,0,0.94701,0.90944,0.9473,0.73965,0.94701,0.90944,0.9473,0.61995,0.85477,1.3364,0.85384,0.8875,0,0.000451066,0.000451066,0.000451066
62,100.174,0.91315,1.35422,1.10839,0.98246,0,0.94701,0.90944,0.9473,0.73965,0.94701,0.90944,0.9473,0.61995,0.85477,1.3364,0.85384,0.8875,0,0.000440067,0.000440067,0.000440067
63,101.365,0.86784,1.35358,1.05379,1.00012,0,0.96207,0.90639,0.94729,0.76174,0.96207,0.90639,0.94729,0.63277,0.80587,1.29164,0.75959,0.87401,0,0.000429068,0.000429068,0.000429068
64,102.632,0.94489,1.41146,1.10316,1.00468,0,0.96207,0.90639,0.94729,0.76174,0.96207,0.90639,0.94729,0.63277,0.80587,1.29164,0.75959,0.87401,0,0.000418069,0.000418069,0.000418069
65,104.042,0.91524,1.46491,1.09256,0.9989,0,0.95709,0.89745,0.9473,0.78468,0.95709,0.89745,0.9473,0.64624,0.76761,1.30566,0.67381,0.86532,0,0.00040707,0.00040707,0.00040707
